City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-01-23 17:45:19,-23.1203,-134.9692,78.44,67,6,11.1
1,Garowe,SO,2021-01-23 17:45:19,8.4054,48.4845,71.04,52,67,17.25
2,Saldanha,ZA,2021-01-23 17:45:20,-33.0117,17.9442,69.8,73,30,16.11
3,Saint-Augustin,CA,2021-01-23 17:45:20,51.226,-58.6502,34.47,97,100,9.64
4,Cape Town,ZA,2021-01-23 17:42:50,-33.9258,18.4232,71.01,82,90,14.97
5,Kodiak,US,2021-01-23 17:45:20,57.79,-152.4072,39.2,60,1,10.36
6,Klaksvik,FO,2021-01-23 17:45:20,62.2266,-6.589,28.4,93,97,14.41
7,Ardatov,RU,2021-01-23 17:45:20,55.2421,43.097,33.57,97,100,13.91
8,Busselton,AU,2021-01-23 17:45:21,-33.65,115.3333,60.01,90,19,2.26
9,Trincomalee,LK,2021-01-23 17:45:21,8.5711,81.2335,78.06,75,1,11.14
